dataset_name,target_epsilon,accuracy
dpdl-benchmark/svhn_cropped,1.7107026706081225,0.7323668003082275
dpdl-benchmark/svhn_cropped,1.8430596094117477,0.7851480841636658
dpdl-benchmark/svhn_cropped,1.9856569947584508,0.7908986210823059
dpdl-benchmark/svhn_cropped,2.139287129238106,0.7773791551589966
dpdl-benchmark/svhn_cropped,2.304803615833227,0.8103780746459961
dpdl-benchmark/svhn_cropped,2.4831261007258063,0.8251384496688843
dpdl-benchmark/svhn_cropped,2.675245383054753,0.8224960565567017
dpdl-benchmark/svhn_cropped,2.8822289200149087,0.8073080778121948
dpdl-benchmark/svhn_cropped,3.105226757885143,0.8217511177062988
dpdl-benchmark/svhn_cropped,3.345477921939666,0.842158317565918
dpdl-benchmark/svhn_cropped,3.6043173007462914,0.8319547176361084
dpdl-benchmark/svhn_cropped,3.8831830631023725,0.8426594734191895
dpdl-benchmark/svhn_cropped,4.183624648818498,0.8503201603889465
dpdl-benchmark/svhn_cropped,4.507311377748522,0.8539566993713379
dpdl-benchmark/svhn_cropped,4.856041724899652,0.8492512702941895
dpdl-benchmark/svhn_cropped,5.2317533131570695,0.8599467277526855
dpdl-benchmark/svhn_cropped,5.6365336791449465,0.855471134185791
dpdl-benchmark/svhn_cropped,6.072631872041288,0.8562614321708679
dpdl-benchmark/svhn_cropped,6.5424709497922935,0.8686522245407104
dpdl-benchmark/svhn_cropped,7.048661442157817,0.8712142705917358
dpdl-benchmark/svhn_cropped,7.5940158553917145,0.874156653881073
dpdl-benchmark/svhn_cropped,8.181564299148176,0.8852512836456299
dpdl-benchmark/svhn_cropped,8.814571322440727,0.8754363059997559
dpdl-benchmark/svhn_cropped,9.496554052198045,0.8877259492874146
dpdl-benchmark/svhn_cropped,10.23130173519855,0.8894780278205872
dpdl-benchmark/svhn_cropped,11.022896791962967,0.8953572511672974
